어종,산지,규격,포장,수량,중량,낙찰고가,낙찰저가,평균가,year,month
(선)홍어,안흥,중,kg,"6,200.1",1.0,"10,000","1,000","6,800",2021,12
(선)홍어,격포,중,kg,149.5,1.0,"8,500","2,000","5,700",2021,12
(선)홍어,부산(기장),중,S/P,291.2,1.0,"11,000","4,000","7,300",2021,12
(선)홍어,방어진,중,S/P,1,5.0,"5,000","5,000","5,000",2021,12
(선)홍어,방어진,1미,S/P,1,15.0,"20,000","20,000","20,000",2021,12
(선)홍어,안흥,중,S/P,"1,393.5",1.0,"10,500","4,500","6,700",2021,12
(선)홍어,안흥,중,가구,556.4,1.0,"10,000","4,000","6,500",2021,12
(선)홍어,장항,3미,S/P,1,12.0,"78,000","78,000","78,000",2021,12
(선)홍어,목포,중,S/P,283,1.0,"11,000","10,000","10,700",2021,12
(선)홍어,서산,중,S/P,3,15.0,"20,000","5,000","15,000",2021,12
(선)홍어,방어진,2미,S/P,54.3,1.0,"9,000","5,000","6,600",2021,12
(선)홍어,방어진,대,S/P,74.4,1.0,"9,500","5,000","7,500",2021,12
(선)홍어,방어진,중,S/P,"1,310",1.0,"35,000","3,500","6,100",2021,12
(선)홍어,태안,중,kg,1,10.0,"103,700","103,700","103,700",2021,12
(선)홍어,목포,대,S/P,7,20.0,"200,000","200,000","200,000",2022,1
(선)홍어,군산,중,c/s(상자),60.2,1.0,"8,300","5,500","6,800",2022,1
(선)홍어,군산,1단,c/s(상자),200,1.0,"4,700","4,700","4,700",2022,1
(선)홍어,안흥,대,가구,319.3,1.0,"10,000","6,000","7,800",2022,1
(선)홍어,장항,5미,가구,1,38.0,"304,000","304,000","304,000",2022,1
(선)홍어,목포,3미,S/P,6,1.0,"7,000","7,000","7,000",2022,1
(선)홍어,방어진,20미,S/P,1,15.0,"40,000","40,000","40,000",2022,1
(선)홍어,군산,2단,c/s(상자),2,8.0,"112,000","112,000","112,000",2022,1
(선)홍어,태안,중,kg,"6,054.2",1.0,"9,000","4,000","6,300",2022,1
(선)홍어,인천,대,S/P,21.3,1.0,"11,000","6,000","9,500",2022,1
(선)홍어,목포,대,S/P,3,15.0,"140,000","140,000","140,000",2022,1
(선)홍어,방어진,중,S/P,2,20.0,"100,000","60,000","80,000",2022,1
(선)홍어,목포,대,c/s(상자),"4,354.2",1.0,"10,000","4,000","6,900",2022,1
(선)홍어,목포,2미,S/P,334,1.0,"5,500","4,500","4,700",2022,1
(선)홍어,부산(기장),대,S/P,38.7,1.0,"8,000","4,000","7,300",2022,1
(선)홍어,방어진,5미,S/P,32.2,1.0,"9,000","5,000","6,600",2022,1
(선)홍어,목포,6미,S/P,"1,263.7",1.0,"8,000","5,500","7,000",2022,1
(선)홍어,보령,대,S/P,20,20.0,"30,000","30,000","30,000",2022,1
(선)홍어,목포,중,kg,628.1,1.0,"24,000","5,000","8,000",2022,1
(선)홍어,방어진,2미,S/P,1,15.0,"50,000","50,000","50,000",2022,1
(선)홍어,목포,4미,S/P,100.5,1.0,"8,000","6,000","7,800",2022,1
(선)홍어,장항,대,S/P,5,15.0,"37,000","37,000","37,000",2022,1
(선)홍어,보령,대,c/s(상자),3,15.0,"30,000","30,000","30,000",2022,1
(선)홍어,장항,4미,가구,2,34.0,"272,000","272,000","272,000",2022,1
(선)홍어,보령,중,S/P,14,20.0,"30,000","30,000","30,000",2022,1
(선)홍어,안면도,중,kg,269.3,1.0,"8,000","4,700","6,200",2022,1
(선)홍어,방어진,대,S/P,"3,415.1",1.0,"10,000","3,000","6,000",2022,1
(선)홍어,목포,대,S/P,"3,409.7",1.0,"9,500","3,500","6,100",2022,1
(선)홍어,장항,3미,c/s(상자),1,30.6,"206,100","206,100","206,100",2022,1
(선)홍어,목포,중,S/P,148.4,1.0,"9,000","5,500","6,400",2022,1
(선)홍어,보령,1미,S/P,23,10.0,"38,000","30,000","30,300",2022,1
(선)홍어,군산,대,S/P,264,1.0,"10,000","5,500","8,500",2022,1
(선)홍어,장항,4미,가구,1,38.0,"304,000","304,000","304,000",2022,1
(선)홍어,군산,중,S/P,1,10.0,"54,000","54,000","54,000",2022,1
(선)홍어,방어진,3미,S/P,2,15.0,"50,000","40,000","45,000",2022,1
(선)홍어,목포,9미,c/s(상자),260.5,1.0,"10,000","10,000","10,000",2022,1
(선)홍어,동해시,대,S/P,9.6,1.0,"8,000","8,000","8,000",2022,1
(선)홍어,안흥,중,S/P,712.7,1.0,"15,000","5,500","7,500",2022,1
(선)홍어,군산,2단,c/s(상자),344.1,1.0,"6,500","5,000","6,000",2022,1
(선)홍어,안흥,중,kg,"11,601.6",1.0,"11,000","3,800","6,700",2022,1
(선)홍어,속초,대,S/P,3.3,1.0,"5,500","5,500","5,500",2022,1
(선)홍어,장항,3미,c/s(상자),1,27.2,"231,200","231,200","231,200",2022,1
(선)홍어,장항,4미,가구,1,28.0,"168,000","168,000","168,000",2022,1
(선)홍어,안흥,대,S/P,115,1.0,"8,000","7,000","7,800",2022,1
(선)홍어,진도,중,S/P,438.8,1.0,"8,500","3,500","4,600",2022,2
(선)홍어,신안,중,S/P,706.5,1.0,"6,500","2,000","3,700",2022,2
(선)홍어,목포,중,kg,420.2,1.0,"6,000","4,000","5,200",2022,2
(선)홍어,군산,대,c/s(상자),135.9,1.0,"10,000","8,500","9,300",2022,2
(선)홍어,장항,대,가구,2,28.0,"210,000","210,000","210,000",2022,2
(선)홍어,포항,대,S/P,56.1,1.0,"4,500","4,500","4,500",2022,2
(선)홍어,태안,중,가구,31.5,1.0,"5,000","5,000","5,000",2022,2
(선)홍어,목포,대,c/s(상자),"3,448.1",1.0,"9,500","3,000","5,600",2022,2
(선)홍어,방어진,중,S/P,88.8,20.0,"5,500","5,500","5,500",2022,2
(선)홍어,태안,중,kg,"3,205",1.0,"9,000","2,000","4,700",2022,2
(선)홍어,안흥,중,kg,"3,293.7",1.0,"9,000","3,500","5,000",2022,2
(선)홍어,군산,2단,c/s(상자),163.8,1.0,"4,500","4,500","4,500",2022,2
(선)홍어,방어진,대,c/s(상자),85.2,1.0,"8,000","7,500","7,800",2022,2
(선)홍어,군산,중,kg,47.9,1.0,"6,000","5,000","5,200",2022,2
(선)홍어,목포,중,S/P,337.9,1.0,"8,000","5,000","6,200",2022,2
(선)홍어,목포,대,S/P,"1,289.5",1.0,"9,000","4,000","5,500",2022,2
(선)홍어,방어진,대,S/P,"1,788.3",1.0,"9,000","2,000","5,800",2022,2
(선)홍어,방어진,중,S/P,837.1,1.0,"7,500","2,700","4,700",2022,2
(선)홍어,장항,대,S/P,5,11.0,"33,000","33,000","33,000",2022,2
(선)홍어,장항,대,S/P,3,10.0,"30,000","30,000","30,000",2022,2
(선)홍어,신안,중,kg,592.8,1.0,"8,000","4,500","5,600",2022,3
